date,open,high,low,close,volume,adj_close,change_percent,avg_vol_20d
2008-12-11,89.54,91,87.37,87.94,366329688,65.3431,-2.408166618,480859188.3
2008-12-12,85.55,89.07,85.2,88.99,415140906,66.1232,1.193852144,463926183.6
2008-12-15,89.02,89.15,86.29,87.75,256846094,65.2019,-1.393308249,449750872.7
2008-12-16,88.3,92.02,88.18,91.88,377700000,68.2706,4.706457941,447858682.1
2008-12-17,90.84,92.43,90.06,90.99,288101781,67.6093,-0.968645361,436056741.5
2008-12-18,91.4,91.67,88.21,89.29,374829406,66.3462,-1.868234104,426857739.9
2008-12-19,89.1,90.62,88.09,88.19,301523406,66.061,-0.429866368,401224888.3
2008-12-22,88.58,88.67,85.49,87.06,244192188,65.2146,-1.281240066,377496069.6
2008-12-23,87.53,87.93,85.8,86.16,221772500,64.5404,-1.033817581,362411593
2008-12-24,86.45,86.87,86,86.66,62142422,64.9149,0.580256707,342809300.1
2008-12-26,87.24,87.3,86.5,87.16,74775828,65.2895,0.577063201,328032072.7
2008-12-29,87.24,87.33,85.6,86.91,128419203,65.1022,-0.286876144,328457768
2008-12-30,87.51,89.05,86.8766,88.97,168555703,66.6453,2.370273201,318344212.6
2008-12-31,89.08,90.97,88.87,90.24,194141797,67.5966,1.427407484,304562041.5
2009-01-02,90.44,93.44,89.85,92.96,227638500,69.6341,3.014204856,289938780.5
2009-01-05,92.63,94.5533,91.89,92.85,240697594,69.5517,-0.118332828,279756585.2
2009-01-06,93.64,94.45,92.68,93.47,328481688,70.0161,0.667704743,272577460.2
2009-01-07,92,92.26,90.2,90.67,281047625,67.9187,-2.995596727,265979000.9
2009-01-08,90.16,91.09,89.67,91.042,263834406,68.1974,0.410343543,260627596.2
2009-01-09,91.16,91.32,85.36,89.09,331160906,66.7352,-2.144070009,257366582.1
2009-01-12,88.84,88.91,86.41,86.95,278008375,65.1322,-2.402030712,252950516.4
2009-01-13,86.73,87.88,86.2,87.11,356731812,65.252,0.1839336,250030061.7
2009-01-14,85.54,85.75,83.16,84.37,435967094,63.1995,-3.145497456,258986111.7
2009-01-15,84.12,85.25,81.72,84.4,533808812,63.222,0.035601547,266791552.3
2009-01-16,85.86,85.9876,83.05,85.06,399307000,63.7164,0.782006264,272351813.3
2009-01-20,84.23,85.059,80.05,80.57,420108406,60.3531,-5.278546811,274615763.3
2009-01-21,81.94,84.24,80.47,84.05,364767281,62.9598,4.319082201,277777957
2009-01-22,82.42,84.04,81.17,82.75,427940406,61.986,-1.546701228,286965367.9
2009-01-23,80.9,83.99,80.57,83.11,386800500,62.2557,0.435098248,295216767.9
2009-01-26,83.59,85.36,82.81,83.68,318269500,62.6827,0.685880972,308023121.8
2009-01-27,84.13,85.15,83.3,84.53,274111906,63.3194,1.015750757,317989925.7
2009-01-28,86.4,87.95,86.07,87.39,330317406,65.4618,3.383481208,328084835.9
2009-01-29,86.11,87.4901,84.47,84.55,294591500,63.3344,-3.249834254,334386625.7
2009-01-30,84.98,85.4,82.21,82.83,383464188,62.046,-2.034281528,343852745.3
2009-02-02,81.57,83.18,81.31,82.58,288488906,61.8587,-0.301872804,346895265.6
2009-02-03,83.1,84.36,82.22,83.74,278480500,62.7276,1.404652862,348784410.9
2009-02-04,84.3,85.37,83.04,83.33,322993875,62.4205,-0.489577156,348510020.2
2009-02-05,82.7,85.29,77.73,84.57,417679906,63.3494,1.488132905,355341634.3
2009-02-06,84.86,87.34,84.68,86.979,366101688,65.1539,2.84848791,360454998.4
2009-02-09,86.96,87.74,86.32,87.1,240075109,65.2445,0.139055375,355900708.5
2009-02-10,86.27,87.03,82.45,83.11,536212688,62.2557,-4.58092253,368810924.2
2009-02-11,83.45,84.05,82.4,83.6,324674594,62.6228,0.589664882,367208063.3
2009-02-12,82.17,83.82,81.05,83.66,469302219,62.6677,0.071699126,368874819.5
2009-02-13,83.55,84.24,82.74,82.76,293998406,61.9935,-1.075833324,356884299.2
2009-02-17,80.16,82.958,79.17,79.22,478910594,59.3418,-4.277383919,360864478.9
2009-02-18,79.79,79.94,78.28,79.03,362970125,59.1995,-0.239797242,358007564.9
